TOKEN LIST
==========

Line:Col	Type			Value
--------	----			-----
5:1		HASH_PROGRAM		#Program
5:10		IDENTIFIER		LOOP
5:14		SEMICOLON		;
6:1		START		Start
6:7		VARIABLE		Variable
6:16		IDENTIFIER		A
6:17		COMMA		,
6:19		IDENTIFIER		B
6:20		COMMA		,
6:22		IDENTIFIER		I
6:23		COMMA		,
6:25		IDENTIFIER		J
6:26		COMMA		,
6:28		IDENTIFIER		X
6:29		COMMA		,
6:31		IDENTIFIER		SQR
9:1		GET		Get
9:4		LPAREN		(
9:5		IDENTIFIER		A
9:6		RPAREN		)
9:7		SEMICOLON		;
10:1		GET		Get
10:4		LPAREN		(
10:5		IDENTIFIER		B
10:6		RPAREN		)
10:7		SEMICOLON		;
13:1		FOR		For
13:5		IDENTIFIER		I
13:7		ASSIGN		>>
13:10		IDENTIFIER		A
13:12		TO		To
13:15		IDENTIFIER		B
14:5		IDENTIFIER		SQR
14:9		ASSIGN		>>
14:12		IDENTIFIER		I
14:14		MUL		Mul
14:18		IDENTIFIER		I
14:19		SEMICOLON		;
15:5		PUT		Put
15:8		LPAREN		(
15:9		IDENTIFIER		SQR
15:12		RPAREN		)
15:13		SEMICOLON		;
16:1		NEXT		Next
16:6		IDENTIFIER		I
16:7		SEMICOLON		;
23:1		IDENTIFIER		X
23:3		ASSIGN		>>
23:6		NUMBER		0
23:7		SEMICOLON		;
24:1		FOR		For
24:5		IDENTIFIER		I
24:7		ASSIGN		>>
24:10		NUMBER		1
24:12		TO		To
24:15		IDENTIFIER		A
25:5		FOR		For
25:9		IDENTIFIER		J
25:11		ASSIGN		>>
25:14		NUMBER		1
25:16		TO		To
25:19		IDENTIFIER		B
26:9		IDENTIFIER		X
26:11		ASSIGN		>>
26:14		IDENTIFIER		X
26:16		PLUS		+
26:18		NUMBER		1
26:19		SEMICOLON		;
27:5		NEXT		Next
27:10		IDENTIFIER		J
27:11		SEMICOLON		;
28:1		NEXT		Next
28:6		IDENTIFIER		I
28:7		SEMICOLON		;
31:1		PUT		Put
31:4		LPAREN		(
31:5		IDENTIFIER		X
31:6		RPAREN		)
31:7		SEMICOLON		;
33:1		STOP		Stop
34:1		END_OF_FILE		
