Line 2, Column 1: STARTPROGRAM = "startprogram"
Line 3, Column 1: VARIABLE = "variable"
Line 3, Column 10: IDENTIFIER = "_A"
Line 3, Column 12: COMMA = ","
Line 3, Column 14: IDENTIFIER = "_B"
Line 3, Column 16: COMMA = ","
Line 3, Column 18: IDENTIFIER = "_I"
Line 3, Column 20: COMMA = ","
Line 3, Column 22: IDENTIFIER = "_J"
Line 3, Column 24: COMMA = ","
Line 3, Column 26: IDENTIFIER = "_X"
Line 3, Column 28: COMMA = ","
Line 3, Column 30: IDENTIFIER = "_SQR"
Line 3, Column 34: SEMICOLON = ";"
Line 4, Column 1: STARTBLOK = "startblok"
Line 6, Column 5: GET = "get"
Line 6, Column 8: LPAREN = "("
Line 6, Column 9: IDENTIFIER = "_A"
Line 6, Column 11: RPAREN = ")"
Line 6, Column 12: SEMICOLON = ";"
Line 7, Column 5: GET = "get"
Line 7, Column 8: LPAREN = "("
Line 7, Column 9: IDENTIFIER = "_B"
Line 7, Column 11: RPAREN = ")"
Line 7, Column 12: SEMICOLON = ";"
Line 10, Column 5: IDENTIFIER = "_I"
Line 10, Column 8: ASSIGN = "::"
Line 10, Column 11: IDENTIFIER = "_A"
Line 10, Column 13: SEMICOLON = ";"
Line 11, Column 5: WHILE = "while"
Line 11, Column 11: IDENTIFIER = "_I"
Line 11, Column 14: LESS = "less"
Line 11, Column 19: IDENTIFIER = "_B"
Line 11, Column 22: PLUS = "+"
Line 11, Column 24: NUMBER = "1"
Line 11, Column 26: STARTBLOK = "startblok"
Line 12, Column 9: IDENTIFIER = "_SQR"
Line 12, Column 14: ASSIGN = "::"
Line 12, Column 17: IDENTIFIER = "_I"
Line 12, Column 20: MULTIPLY = "*"
Line 12, Column 22: IDENTIFIER = "_I"
Line 12, Column 24: SEMICOLON = ";"
Line 13, Column 9: PUT = "put"
Line 13, Column 12: LPAREN = "("
Line 13, Column 13: IDENTIFIER = "_SQR"
Line 13, Column 17: RPAREN = ")"
Line 13, Column 18: SEMICOLON = ";"
Line 14, Column 9: IDENTIFIER = "_I"
Line 14, Column 12: ASSIGN = "::"
Line 14, Column 15: IDENTIFIER = "_I"
Line 14, Column 18: PLUS = "+"
Line 14, Column 20: NUMBER = "1"
Line 14, Column 21: SEMICOLON = ";"
Line 15, Column 5: ENDBLOK = "endblok"
Line 18, Column 5: IDENTIFIER = "_X"
Line 18, Column 8: ASSIGN = "::"
Line 18, Column 11: NUMBER = "0"
Line 18, Column 12: SEMICOLON = ";"
Line 19, Column 5: IDENTIFIER = "_I"
Line 19, Column 8: ASSIGN = "::"
Line 19, Column 11: NUMBER = "1"
Line 19, Column 12: SEMICOLON = ";"
Line 20, Column 5: WHILE = "while"
Line 20, Column 11: IDENTIFIER = "_I"
Line 20, Column 14: LESS = "less"
Line 20, Column 19: IDENTIFIER = "_A"
Line 20, Column 22: PLUS = "+"
Line 20, Column 24: NUMBER = "1"
Line 20, Column 26: STARTBLOK = "startblok"
Line 21, Column 9: IDENTIFIER = "_J"
Line 21, Column 12: ASSIGN = "::"
Line 21, Column 15: NUMBER = "1"
Line 21, Column 16: SEMICOLON = ";"
Line 22, Column 9: WHILE = "while"
Line 22, Column 15: IDENTIFIER = "_J"
Line 22, Column 18: LESS = "less"
Line 22, Column 23: IDENTIFIER = "_B"
Line 22, Column 26: PLUS = "+"
Line 22, Column 28: NUMBER = "1"
Line 22, Column 30: STARTBLOK = "startblok"
Line 23, Column 13: IDENTIFIER = "_X"
Line 23, Column 16: ASSIGN = "::"
Line 23, Column 19: IDENTIFIER = "_X"
Line 23, Column 22: PLUS = "+"
Line 23, Column 24: NUMBER = "1"
Line 23, Column 25: SEMICOLON = ";"
Line 24, Column 13: IDENTIFIER = "_J"
Line 24, Column 16: ASSIGN = "::"
Line 24, Column 19: IDENTIFIER = "_J"
Line 24, Column 22: PLUS = "+"
Line 24, Column 24: NUMBER = "1"
Line 24, Column 25: SEMICOLON = ";"
Line 25, Column 9: ENDBLOK = "endblok"
Line 26, Column 9: IDENTIFIER = "_I"
Line 26, Column 12: ASSIGN = "::"
Line 26, Column 15: IDENTIFIER = "_I"
Line 26, Column 18: PLUS = "+"
Line 26, Column 20: NUMBER = "1"
Line 26, Column 21: SEMICOLON = ";"
Line 27, Column 5: ENDBLOK = "endblok"
Line 30, Column 5: PUT = "put"
Line 30, Column 8: LPAREN = "("
Line 30, Column 9: IDENTIFIER = "_X"
Line 30, Column 11: RPAREN = ")"
Line 30, Column 12: SEMICOLON = ";"
Line 31, Column 1: ENDBLOK = "endblok"
Line 32, Column 1: EOF = ""
