Line 4, Column 1: PROGRAM = "Program"
Line 4, Column 9: IDENTIFIER = "DM"
Line 4, Column 11: SEMICOLON = ";"
Line 5, Column 1: VAR = "Var"
Line 5, Column 5: INT16 = "Int16"
Line 5, Column 11: IDENTIFIER = "A"
Line 5, Column 12: COMMA = ","
Line 5, Column 14: IDENTIFIER = "B"
Line 5, Column 15: COMMA = ","
Line 5, Column 17: IDENTIFIER = "X"
Line 5, Column 18: SEMICOLON = ";"
Line 6, Column 1: BEGIN = "Begin"
Line 8, Column 5: GET = "Get"
Line 8, Column 9: IDENTIFIER = "A"
Line 8, Column 10: SEMICOLON = ";"
Line 9, Column 5: GET = "Get"
Line 9, Column 9: IDENTIFIER = "B"
Line 9, Column 10: SEMICOLON = ";"
Line 12, Column 5: IDENTIFIER = "X"
Line 12, Column 7: ASSIGN = "::="
Line 12, Column 11: IDENTIFIER = "A"
Line 12, Column 13: PLUS = "+"
Line 12, Column 15: IDENTIFIER = "B"
Line 12, Column 16: SEMICOLON = ";"
Line 13, Column 5: PUT = "Put"
Line 13, Column 9: IDENTIFIER = "X"
Line 13, Column 10: SEMICOLON = ";"
Line 16, Column 5: IF = "If"
Line 16, Column 8: IDENTIFIER = "A"
Line 16, Column 10: GT = ">>"
Line 16, Column 13: IDENTIFIER = "B"
Line 16, Column 15: GOTO = "Goto"
Line 16, Column 20: IDENTIFIER = "LA"
Line 16, Column 22: SEMICOLON = ";"
Line 17, Column 5: PUT = "Put"
Line 17, Column 9: IDENTIFIER = "B"
Line 17, Column 10: SEMICOLON = ";"
Line 18, Column 5: GOTO = "Goto"
Line 18, Column 10: IDENTIFIER = "LB"
Line 18, Column 12: SEMICOLON = ";"
Line 19, Column 1: IDENTIFIER = "LA"
Line 19, Column 3: COLON = ":"
Line 20, Column 5: PUT = "Put"
Line 20, Column 9: IDENTIFIER = "A"
Line 20, Column 10: SEMICOLON = ";"
Line 21, Column 1: IDENTIFIER = "LB"
Line 21, Column 3: COLON = ":"
Line 24, Column 5: FOR = "For"
Line 24, Column 9: IDENTIFIER = "X"
Line 24, Column 11: ASSIGN = "::="
Line 24, Column 15: NUMBER = "1"
Line 24, Column 17: TO = "To"
Line 24, Column 20: NUMBER = "5"
Line 25, Column 9: PUT = "Put"
Line 25, Column 13: IDENTIFIER = "X"
Line 25, Column 15: MUL = "Mul"
Line 25, Column 19: IDENTIFIER = "X"
Line 26, Column 5: NEXT = "Next"
Line 26, Column 10: IDENTIFIER = "X"
Line 27, Column 1: END = "End"
Line 28, Column 1: EOF = ""
